"" "W070517001156" "W070517001157" "W070517001159" "W070517001160" "W070517001161" "W070517001162" "W070517102034" "W070517102035" "W070517102036" "W070517102037" "W070517102038" "W070517102051"
"ATG9B" 0.15955242 0.3613239 0.0940833 0.428216 0.0081142 0.2480225 0.4814521 0.3939325 0.21200882 0.3250306 0.3290197 0.0732445
"ATL1" 1.495914 1.88983836 1.545861 2.5181398 1.6103224 1.7279747 3.4407558 1.876132 2.455844 2.3999439 1.785364 1.316016
"ATMIN" 6.32171 5.8539034 3.0416467 7.02747277 3.9406733 5.888764 6.2499719 6.944807 5.449871 7.8366139 6.89646 5.144604
"ATP10A" 2.3567947 3.3596159 1.140723 5.049419 2.3247991 4.4810532 4.3336637 2.6465801 2.708394 4.3709153 4.106812 3.391468
"ATP10D" 11.69016 7.5916017 8.366226 8.017562 5.2428770624 8.130324 8.137225 10.179338 8.594345 11.781334 14.0387274 11.554475
"ATP11C" 9.415062 7.074451 7.09392 10.1897997 4.1371446 8.0640259 11.408287 8.9737409 12.345135 10.157323 7.51125920426046 11.311623
"ATP1A3" 1.087908 0.945630322 0.86558500583 1.173631 1.1549616 1.5789028 1.9783481 0.9226254 1.298539 1.7198398 1.582572 0.795525161233714
"ATP1B3" 16.144703 12.73693 13.0653 15.8362142 17.82514 15.52919 13.980824 12.567344 17.4596614 19.651183 17.5403 22.256776
"ATP2B4" 30.585338 21.908473 23.764506 31.841868 22.234067 27.057049 24.193831 26.777623 24.272192 30.050079 37.006539 23.1364525
"ATP6V1B2" 851.470261 445.6620726 478.090944 477.781753 267.893198 255.428326 300.502505 778.513387 397.5457 288.46234 535.816766 429.420085
"ATPAF2" 16.6361552 16.3096512 11.0576102 19.3241181 12.6440513 13.0664444 14.34375 12.468174 13.189795 13.844549 17.5507127 16.2972245
"ATXN1L" 5.39124 3.952771 3.480427 4.10505 3.402744 3.595028 3.974055 3.9439476 3.871446 5.147853 4.796097 3.664342
"AUH" 26.277299 23.835849 20.374395 27.190479 21.812046 29.240002 28.672506 25.912337 28.098517 31.394254 25.258734 25.855094
"AUTS2" 10.1551512 12.200229 20.8545027006902 14.3982131000293 8.3289609 18.3810791 17.8143763 15.3008762000279 17.283424 28.0492601 23.071042 19.9046742006589
"B3GALT2" 1.12178 0.730982 0.763572 1.31769 0.678446 1.02632 1.86194 1.66591 1.24368 1.52118 1.11821 1.27386
"B3GAT1" 0.19783308 0.0323912 0.45420785 0.16212804 0.59098154 0.8931016 0.68199353 0.188567 0.69078769 0.65867779 0.61312462 0.2441051
