"" "T cells CD8" "Monocytes" "T cells CD4" "NKT cells" "B cells" "NK cells"
"ALDH2" -0.0419823910665293 0.410178179248755 -0.0756982789400998 -0.0680588997716092 -0.09641978855325 -0.0654540812427799
"ALDH3B1" -0.088381678330352 0.0496261239095443 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0836295249694706
"ALDH5A1" -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0625128764777274
"ALG1" -0.0702897216831593 -0.0904099989198406 -0.0713686734877777 -0.0778035250672743 -0.0406993603866808 -0.09641978855325
"ALG11" -0.087836148756263 -0.0924212899304121 -0.080703011651309 -0.053866592257185 -0.09641978855325 -0.0497222638390687
"ALG12" -0.0564431810776698 -0.080981938465385 -0.0850701223045308 -0.0697981115366232 -0.09641978855325 -0.005031912558547
"ALG6" -0.0690122731681185 -0.0795095929844426 -0.0681164820884462 -0.0555345343287104 -0.0556442844363429 0.0495361976034438
"ALKBH2" -0.0769662961179768 -0.0896963694084128 -0.0812231501633472 -0.09641978855325 0.017807753329404 -0.017493408299977
"ALOX15B" -0.0945159441392794 -0.0674999989088787 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ALOX5" -0.0506668836546565 0.240027918946659 -0.09641978855325 -0.0822393441624297 0.156387029227098 -0.09641978855325
"ALYREF" -0.0740779733460908 -0.0706022600353807 -0.0822382304367322 -0.0440520051053094 -0.09641978855325 -0.09641978855325
"AMICA1" 0.0373367620034493 0.667381119313249 0.00297861319891669 -0.09641978855325 -0.00607561983645911 -0.0597345702646425
"AMIGO2" -0.0885521895894048 -0.0927727333016996 -0.0893087814600357 -0.0776901915415524 -0.09641978855325 -0.09641978855325
"AMN1" -0.0804364591122272 -0.0814140010239383 -0.0738810701847436 -0.0724006380066805 0.0217297715930533 -0.09641978855325
"ANGPT2" -0.0325070020829169 -0.0935785919370957 -0.0446869582456386 -0.072252979294304 -0.0577889347860337 -0.09641978855325
"ANK1" -0.09641978855325 -0.0945443043620684 -0.0925577830981603 -0.09641978855325 0.0335520274233848 -0.09641978855325
"ANK3" -0.0881823293150969 -0.09641978855325 -0.0406193215751637 -0.09641978855325 -0.0770009323422865 -0.09641978855325
"ANKEF1" -0.0887961461464232 -0.09641978855325 -0.0882178392096545 -0.09641978855325 -0.09641978855325 -0.031962077475067
"ANKH" -0.0710206504731618 -0.0914496450807384 -0.0171930580832398 -0.0562927778153411 -0.074248010808367 -0.09641978855325
"ANKRD13C" -0.0691093549492329 -0.0730998965653111 -0.0897037587602561 -0.0545438085082346 -0.09641978855325 0.0667556167122492
