NAME	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells
ATAD3A	8.82052113300572	4.31952458739816	5.02488991926071	1	9.45844787481496	25.9246021358536
ATCAY	5.15287982298384	1	1	1	1	1
ATG2A	30.5895260261095	11.3949479477826	13.3534053650982	8.50469043151971	1	63.7956377877281
ATG4C	4.07261902154539	11.5982681435238	4.88547786739568	1	24.0608822000062	1
ATG9B	1	1	13.2018540864058	1	1	1
ATL1	1	1.79730002320143	1	10.2527480661756	8.5258701787394	1
ATMIN	27.2143269631542	16.6989824695415	8.61590231764934	22.1518843067323	1	58.7272106474626
ATP10A	1	2.95514315069364	10.1105253347716	6.68404658644583	1	32.9857213786831
ATP10D	10.0837426405299	11.5492305702547	1	8.65304170142422	22.7101585777747	1
ATP11C	12.373068687638	5.48213973456643	6.91499424096243	1	1	1
ATP1A3	4.90630167521642	1	1	16.8638449606163	1	1
ATP1B3	65.0976796674509	85.6055264031017	38.7364971770215	164.180678056596	8.9744816586922	99.5829981184821
ATP2B4	25.6616858362955	20.7512183335664	14.8269323415094	65.8675041269954	1	53.9722481202099
ATP6V1B2	30.8855882486422	231.084982329321	23.0186658213696	18.5318487865499	34.9044985589007	32.749479981805
ATPAF2	16.0246752108328	15.2972604435495	4.88087193662458	5.07659099154922	41.4225858037447	8.614522417154
ATXN1L	32.4963697305213	8.58925962686265	4.72469353135835	22.6324988807768	1	41.7749598704124
AUH	16.6673918079696	10.2386264553496	1	16.8285944657877	7.6934404283802	1
AUTS2	18.6265758796609	1.59363950884642	6.00723266941137	42.1289391384855	7.17951490807972	7.81328863815986
B3GALT2	1	1	7.74752809043714	1	1	1
B3GALTL	2.30498556685963	1	8.41491845720475	9.12195934147154	1	1
B3GAT1	3.23721654466379	1	1	22.9494864411206	1	28.7621006294859
B3GNT1	3.05494089989972	1	6.38177260115332	1	1	23.1104273240178
B3GNT7	3.5688318494048	1	1	1	1	28.6241434829401
B3GNT8	1	10.7416547015867	1	1	1	1
B4GALNT3	4.9937243498065	1	1	7.57064760302776	1	15.4959049068638
B9D2	3.01057562780224	9.30948088400482	8.63187680629488	16.7137148507142	7.17188705446692	1
BACE2	1	1	1	1	43.3076994617118	1
BACH1	12.8934564824548	114.911070941664	13.6863215903148	9.54299261031139	16.7497490247692	5.408646237
BACH2	3.59796942709578	2.21469046650187	17.0893719728799	1	74.7880749676734	5.408646237
BAG2	9.89411138440622	2.2978033285952	5.50866281843466	1	22.067324886916	22.6014887491554
BAG3	2.70019279054071	2.1377681305129	9.59968583574916	1	1	1
BANK1	1	7.78066308076125	1	1	387.726675355936	1
